,Company,Industry,ProductName,ProductCategory,ProductIsImplemented
32,AlphaApparel,Clothing Retailer,Tableau,Business Intelligence and Analytics,True
33,AlphaApparel,Clothing Retailer,Tibco Spotfire,Business Intelligence and Analytics,True
34,AlphaArt,Art Subscription Box,Alteryx,Business Intelligence and Analytics,True
35,AlphaArt,Art Subscription Box,Google Data Studio,Business Intelligence and Analytics,True
36,AlphaArt,Art Subscription Box,Jira Service Management,Help Desk and Customer Support,True
37,AlphaArt,Art Subscription Box,Power BI,Business Intelligence and Analytics,True
38,AlphaArt,Art Subscription Box,Salesforce Service Cloud,Help Desk and Customer Support,True
39,AlphaArt,Art Subscription Box,Tableau,Business Intelligence and Analytics,True
40,AlphaArt,Art Subscription Box,Tibco Spotfire,Business Intelligence and Analytics,True
41,Artisan Oven,Artisanal Bakery,Alteryx,Business Intelligence and Analytics,True
42,Artisan Oven,Artisanal Bakery,Google Data Studio,Business Intelligence and Analytics,True
43,Artisan Oven,Artisanal Bakery,Jira Service Management,Help Desk and Customer Support,True
44,Artisan Oven,Artisanal Bakery,Power BI,Business Intelligence and Analytics,True
45,Artisan Oven,Artisanal Bakery,QlikView,Business Intelligence and Analytics,True
46,Artisan Oven,Artisanal Bakery,Salesforce Service Cloud,Help Desk and Customer Support,True
47,Artisan Oven,Artisanal Bakery,Tableau,Business Intelligence and Analytics,True
48,Artisan Oven,Artisanal Bakery,Tibco Spotfire,Business Intelligence and Analytics,True
49,ArtisanArmor,Custom Jewelry,Alteryx,Business Intelligence and Analytics,True
50,ArtisanArmor,Custom Jewelry,Google Data Studio,Business Intelligence and Analytics,True
51,ArtisanArmor,Custom Jewelry,Jira Service Management,Help Desk and Customer Support,True
52,ArtisanArmor,Custom Jewelry,Power BI,Business Intelligence and Analytics,True
53,ArtisanArmor,Custom Jewelry,QlikView,Business Intelligence and Analytics,True
54,ArtisanArmor,Custom Jewelry,Salesforce Service Cloud,Help Desk and Customer Support,True
55,ArtisanArmor,Custom Jewelry,ServiceNow,Help Desk and Customer Support,True
56,ArtisanArmor,Custom Jewelry,Tableau,Business Intelligence and Analytics,True
57,ArtisanArmor,Custom Jewelry,Tibco Spotfire,Business Intelligence and Analytics,True
58,Artistic Expressions,Art Supplies,Alteryx,Business Intelligence and Analytics,True
59,Artistic Expressions,Art Supplies,Google Data Studio,Business Intelligence and Analytics,True
60,Artistic Expressions,Art Supplies,Jira Service Management,Help Desk and Customer Support,True
61,Artistic Expressions,Art Supplies,QlikView,Business Intelligence and Analytics,True
62,Artistic Expressions,Art Supplies,Salesforce Service Cloud,Help Desk and Customer Support,True
63,Artistic Expressions,Art Supplies,Tableau,Business Intelligence and Analytics,True
64,Artistic Expressions,Art Supplies,Tibco Spotfire,Business Intelligence and Analytics,True
65,BetaBaking,Baking Subscription,Alteryx,Business Intelligence and Analytics,True
66,BetaBaking,Baking Subscription,Freshdesk,Help Desk and Customer Support,True
67,BetaBaking,Baking Subscription,Google Data Studio,Business Intelligence and Analytics,True
68,BetaBaking,Baking Subscription,Jira Service Management,Help Desk and Customer Support,True
69,BetaBaking,Baking Subscription,QlikView,Business Intelligence and Analytics,True
70,BetaBaking,Baking Subscription,Salesforce Service Cloud,Help Desk and Customer Support,True
71,BetaBaking,Baking Subscription,Tableau,Business Intelligence and Analytics,True
72,BetaBaking,Baking Subscription,Tibco Spotfire,Business Intelligence and Analytics,True
73,BetaBeauty,Beauty Product Subscription,Alteryx,Business Intelligence and Analytics,True
74,BetaBeauty,Beauty Product Subscription,Google Data Studio,Business Intelligence and Analytics,True
75,BetaBeauty,Beauty Product Subscription,Jira Service Management,Help Desk and Customer Support,True
76,BetaBeauty,Beauty Product Subscription,Salesforce Service Cloud,Help Desk and Customer Support,True
77,BetaBeauty,Beauty Product Subscription,ServiceNow,Help Desk and Customer Support,True
78,BetaBeauty,Beauty Product Subscription,Tableau,Business Intelligence and Analytics,True
79,BetaBeauty,Beauty Product Subscription,Tibco Spotfire,Business Intelligence and Analytics,True
80,BitzBooks,Online Bookstore,Alteryx,Business Intelligence and Analytics,True
81,BitzBooks,Online Bookstore,Alteryx,Business Intelligence and Analytics,True
82,BitzBooks,Online Bookstore,Domo,Business Intelligence and Analytics,True
83,BitzBooks,Online Bookstore,Domo,Business Intelligence and Analytics,True
84,BitzBooks,Online Bookstore,Freshdesk,Help Desk and Customer Support,True
85,BitzBooks,Online Bookstore,Freshdesk,Help Desk and Customer Support,True
86,BitzBooks,Online Bookstore,Freshservice,Help Desk and Customer Support,True
87,BitzBooks,Online Bookstore,Freshservice,Help Desk and Customer Support,True
88,BitzBooks,Online Bookstore,Google Data Studio,Business Intelligence and Analytics,True
89,BitzBooks,Online Bookstore,Google Data Studio,Business Intelligence and Analytics,True
90,BitzBooks,Online Bookstore,HappyFox,Help Desk and Customer Support,True
91,BitzBooks,Online Bookstore,HappyFox,Help Desk and Customer Support,True
92,BitzBooks,Online Bookstore,HubSpot Service Hub,Help Desk and Customer Support,True
93,BitzBooks,Online Bookstore,HubSpot Service Hub,Help Desk and Customer Support,True
94,BitzBooks,Online Bookstore,Intercom,Help Desk and Customer Support,True
95,BitzBooks,Online Bookstore,Intercom,Help Desk and Customer Support,True
96,BitzBooks,Online Bookstore,Jira Service Management,Help Desk and Customer Support,True
97,BitzBooks,Online Bookstore,Jira Service Management,Help Desk and Customer Support,True
98,BitzBooks,Online Bookstore,Looker,Business Intelligence and Analytics,True
99,BitzBooks,Online Bookstore,Looker,Business Intelligence and Analytics,True
100,BitzBooks,Online Bookstore,Power BI,Business Intelligence and Analytics,True
101,BitzBooks,Online Bookstore,Power BI,Business Intelligence and Analytics,True
102,BitzBooks,Online Bookstore,QlikView,Business Intelligence and Analytics,True
103,BitzBooks,Online Bookstore,QlikView,Business Intelligence and Analytics,True
104,BitzBooks,Online Bookstore,Salesforce Service Cloud,Help Desk and Customer Support,True
105,BitzBooks,Online Bookstore,Salesforce Service Cloud,Help Desk and Customer Support,True
106,BitzBooks,Online Bookstore,SAP Analytics Cloud,Business Intelligence and Analytics,True
107,BitzBooks,Online Bookstore,SAP Analytics Cloud,Business Intelligence and Analytics,True
108,BitzBooks,Online Bookstore,ServiceNow,Help Desk and Customer Support,True
109,BitzBooks,Online Bookstore,ServiceNow,Help Desk and Customer Support,True
110,BitzBooks,Online Bookstore,Sisense,Business Intelligence and Analytics,True
111,BitzBooks,Online Bookstore,Sisense,Business Intelligence and Analytics,True
112,BitzBooks,Online Bookstore,Tableau,Business Intelligence and Analytics,True
113,BitzBooks,Online Bookstore,Tableau,Business Intelligence and Analytics,True
114,BitzBooks,Online Bookstore,Tibco Spotfire,Business Intelligence and Analytics,True
115,BitzBooks,Online Bookstore,Tibco Spotfire,Business Intelligence and Analytics,True
116,BitzBooks,Online Bookstore,Zendesk,Help Desk and Customer Support,True
117,BitzBooks,Online Bookstore,Zendesk,Help Desk and Customer Support,True
118,BitzBooks,Online Bookstore,Alteryx,Business Intelligence and Analytics,True
119,BitzBooks,Online Bookstore,Alteryx,Business Intelligence and Analytics,True
120,BitzBooks,Online Bookstore,Domo,Business Intelligence and Analytics,True
121,BitzBooks,Online Bookstore,Domo,Business Intelligence and Analytics,True
122,BitzBooks,Online Bookstore,Freshdesk,Help Desk and Customer Support,True
123,BitzBooks,Online Bookstore,Freshdesk,Help Desk and Customer Support,True
124,BitzBooks,Online Bookstore,Freshservice,Help Desk and Customer Support,True
125,BitzBooks,Online Bookstore,Freshservice,Help Desk and Customer Support,True
126,BitzBooks,Online Bookstore,Google Data Studio,Business Intelligence and Analytics,True
127,BitzBooks,Online Bookstore,Google Data Studio,Business Intelligence and Analytics,True
128,BitzBooks,Online Bookstore,HappyFox,Help Desk and Customer Support,True
129,BitzBooks,Online Bookstore,HappyFox,Help Desk and Customer Support,True
130,BitzBooks,Online Bookstore,HubSpot Service Hub,Help Desk and Customer Support,True
131,BitzBooks,Online Bookstore,HubSpot Service Hub,Help Desk and Customer Support,True
132,BitzBooks,Online Bookstore,Intercom,Help Desk and Customer Support,True
133,BitzBooks,Online Bookstore,Intercom,Help Desk and Customer Support,True
134,BitzBooks,Online Bookstore,Jira Service Management,Help Desk and Customer Support,True
135,BitzBooks,Online Bookstore,Jira Service Management,Help Desk and Customer Support,True
136,BitzBooks,Online Bookstore,Looker,Business Intelligence and Analytics,True
137,BitzBooks,Online Bookstore,Looker,Business Intelligence and Analytics,True
138,BitzBooks,Online Bookstore,Power BI,Business Intelligence and Analytics,True
139,BitzBooks,Online Bookstore,Power BI,Business Intelligence and Analytics,True
140,BitzBooks,Online Bookstore,QlikView,Business Intelligence and Analytics,True
141,BitzBooks,Online Bookstore,QlikView,Business Intelligence and Analytics,True
142,BitzBooks,Online Bookstore,Salesforce Service Cloud,Help Desk and Customer Support,True
143,BitzBooks,Online Bookstore,Salesforce Service Cloud,Help Desk and Customer Support,True
144,BitzBooks,Online Bookstore,SAP Analytics Cloud,Business Intelligence and Analytics,True
145,BitzBooks,Online Bookstore,SAP Analytics Cloud,Business Intelligence and Analytics,True
146,BitzBooks,Online Bookstore,ServiceNow,Help Desk and Customer Support,True
147,BitzBooks,Online Bookstore,ServiceNow,Help Desk and Customer Support,True
148,BitzBooks,Online Bookstore,Sisense,Business Intelligence and Analytics,True
149,BitzBooks,Online Bookstore,Sisense,Business Intelligence and Analytics,True
150,BitzBooks,Online Bookstore,Tableau,Business Intelligence and Analytics,True
151,BitzBooks,Online Bookstore,Tableau,Business Intelligence and Analytics,True
152,BitzBooks,Online Bookstore,Tibco Spotfire,Business Intelligence and Analytics,True
153,BitzBooks,Online Bookstore,Tibco Spotfire,Business Intelligence and Analytics,True
154,BitzBooks,Online Bookstore,Zendesk,Help Desk and Customer Support,True
155,BitzBooks,Online Bookstore,Zendesk,Help Desk and Customer Support,True
156,BloomBox Flowers,Flower Delivery,Alteryx,Business Intelligence and Analytics,True
157,BloomBox Flowers,Flower Delivery,Google Data Studio,Business Intelligence and Analytics,True
158,BloomBox Flowers,Flower Delivery,Jira Service Management,Help Desk and Customer Support,True
159,BloomBox Flowers,Flower Delivery,Salesforce Service Cloud,Help Desk and Customer Support,True
160,BloomBox Flowers,Flower Delivery,ServiceNow,Help Desk and Customer Support,True
161,BloomBox Flowers,Flower Delivery,Tableau,Business Intelligence and Analytics,True
162,BloomBox Flowers,Flower Delivery,Tibco Spotfire,Business Intelligence and Analytics,True
163,Bountiful Books,Bookstore,Alteryx,Business Intelligence and Analytics,True
164,Bountiful Books,Bookstore,Freshdesk,Help Desk and Customer Support,True
165,Bountiful Books,Bookstore,Google Data Studio,Business Intelligence and Analytics,True
166,Bountiful Books,Bookstore,HappyFox,Help Desk and Customer Support,True
167,Bountiful Books,Bookstore,Jira Service Management,Help Desk and Customer Support,True
168,Bountiful Books,Bookstore,QlikView,Business Intelligence and Analytics,True
169,Bountiful Books,Bookstore,Salesforce Service Cloud,Help Desk and Customer Support,True
170,Bountiful Books,Bookstore,Tableau,Business Intelligence and Analytics,True
171,Bountiful Books,Bookstore,Tibco Spotfire,Business Intelligence and Analytics,True
172,BravoBites,Meal Delivery Service,Alteryx,Business Intelligence and Analytics,True
173,BravoBites,Meal Delivery Service,Google Data Studio,Business Intelligence and Analytics,True
174,BravoBites,Meal Delivery Service,Jira Service Management,Help Desk and Customer Support,True
175,BravoBites,Meal Delivery Service,Power BI,Business Intelligence and Analytics,True
176,BravoBites,Meal Delivery Service,Salesforce Service Cloud,Help Desk and Customer Support,True
177,BravoBites,Meal Delivery Service,ServiceNow,Help Desk and Customer Support,True
178,BravoBites,Meal Delivery Service,Tableau,Business Intelligence and Analytics,True
179,BravoBites,Meal Delivery Service,Tibco Spotfire,Business Intelligence and Analytics,True
180,Bright Beginnings,Child Care Services,Alteryx,Business Intelligence and Analytics,True
181,Bright Beginnings,Child Care Services,Freshdesk,Help Desk and Customer Support,True
182,Bright Beginnings,Child Care Services,Google Data Studio,Business Intelligence and Analytics,True
183,Bright Beginnings,Child Care Services,HappyFox,Help Desk and Customer Support,True
184,Bright Beginnings,Child Care Services,Jira Service Management,Help Desk and Customer Support,True
185,Bright Beginnings,Child Care Services,QlikView,Business Intelligence and Analytics,True
186,Bright Beginnings,Child Care Services,Salesforce Service Cloud,Help Desk and Customer Support,True
187,Bright Beginnings,Child Care Services,Tableau,Business Intelligence and Analytics,True
188,Bright Beginnings,Child Care Services,Tibco Spotfire,Business Intelligence and Analytics,True
189,Brilliant Blooms,Floral Arrangements,Alteryx,Business Intelligence and Analytics,True
190,Brilliant Blooms,Floral Arrangements,Google Data Studio,Business Intelligence and Analytics,True
191,Brilliant Blooms,Floral Arrangements,Jira Service Management,Help Desk and Customer Support,True
192,Brilliant Blooms,Floral Arrangements,Power BI,Business Intelligence and Analytics,True
193,Brilliant Blooms,Floral Arrangements,QlikView,Business Intelligence and Analytics,True
194,Brilliant Blooms,Floral Arrangements,Salesforce Service Cloud,Help Desk and Customer Support,True
195,Brilliant Blooms,Floral Arrangements,ServiceNow,Help Desk and Customer Support,True
196,Brilliant Blooms,Floral Arrangements,Tableau,Business Intelligence and Analytics,True
197,Brilliant Blooms,Floral Arrangements,Tibco Spotfire,Business Intelligence and Analytics,True
198,CharlieChargers,Phone Accessories,Alteryx,Business Intelligence and Analytics,True
199,CharlieChargers,Phone Accessories,Google Data Studio,Business Intelligence and Analytics,True
200,CharlieChargers,Phone Accessories,Jira Service Management,Help Desk and Customer Support,True
201,CharlieChargers,Phone Accessories,Power BI,Business Intelligence and Analytics,True
202,CharlieChargers,Phone Accessories,QlikView,Business Intelligence and Analytics,True
203,CharlieChargers,Phone Accessories,Salesforce Service Cloud,Help Desk and Customer Support,True
204,CharlieChargers,Phone Accessories,ServiceNow,Help Desk and Customer Support,True
205,CharlieChargers,Phone Accessories,Tableau,Business Intelligence and Analytics,True
206,CharlieChargers,Phone Accessories,Tibco Spotfire,Business Intelligence and Analytics,True
207,Chic Chocolates,Chocolate Shop,Alteryx,Business Intelligence and Analytics,True
208,Chic Chocolates,Chocolate Shop,Freshdesk,Help Desk and Customer Support,True
209,Chic Chocolates,Chocolate Shop,Google Data Studio,Business Intelligence and Analytics,True
210,Chic Chocolates,Chocolate Shop,HappyFox,Help Desk and Customer Support,True
211,Chic Chocolates,Chocolate Shop,Jira Service Management,Help Desk and Customer Support,True
212,Chic Chocolates,Chocolate Shop,QlikView,Business Intelligence and Analytics,True
213,Chic Chocolates,Chocolate Shop,Salesforce Service Cloud,Help Desk and Customer Support,True
214,Chic Chocolates,Chocolate Shop,Tableau,Business Intelligence and Analytics,True
215,Chic Chocolates,Chocolate Shop,Tibco Spotfire,Business Intelligence and Analytics,True
216,ChiCheese,Cheese Subscription,Alteryx,Business Intelligence and Analytics,True
217,ChiCheese,Cheese Subscription,Google Data Studio,Business Intelligence and Analytics,True
218,ChiCheese,Cheese Subscription,Jira Service Management,Help Desk and Customer Support,True
219,ChiCheese,Cheese Subscription,Salesforce Service Cloud,Help Desk and Customer Support,True
220,ChiCheese,Cheese Subscription,ServiceNow,Help Desk and Customer Support,True
221,ChiCheese,Cheese Subscription,Tableau,Business Intelligence and Analytics,True
222,ChiCheese,Cheese Subscription,Tibco Spotfire,Business Intelligence and Analytics,True
223,ChiChocolates,Chocolate Subscription,Alteryx,Business Intelligence and Analytics,True
224,ChiChocolates,Chocolate Subscription,Google Data Studio,Business Intelligence and Analytics,True
225,ChiChocolates,Chocolate Subscription,Jira Service Management,Help Desk and Customer Support,True
226,ChiChocolates,Chocolate Subscription,Salesforce Service Cloud,Help Desk and Customer Support,True
227,ChiChocolates,Chocolate Subscription,ServiceNow,Help Desk and Customer Support,True
228,ChiChocolates,Chocolate Subscription,Tableau,Business Intelligence and Analytics,True
229,ChiChocolates,Chocolate Subscription,Tibco Spotfire,Business Intelligence and Analytics,True
230,Creative Coding,Coding Education,Alteryx,Business Intelligence and Analytics,True
231,Creative Coding,Coding Education,Google Data Studio,Business Intelligence and Analytics,True
232,Creative Coding,Coding Education,Jira Service Management,Help Desk and Customer Support,True
233,Creative Coding,Coding Education,Looker,Business Intelligence and Analytics,True
234,Creative Coding,Coding Education,Power BI,Business Intelligence and Analytics,True
235,Creative Coding,Coding Education,QlikView,Business Intelligence and Analytics,True
236,Creative Coding,Coding Education,Salesforce Service Cloud,Help Desk and Customer Support,True
237,Creative Coding,Coding Education,SAP Analytics Cloud,Business Intelligence and Analytics,True
238,Creative Coding,Coding Education,ServiceNow,Help Desk and Customer Support,True
239,Creative Coding,Coding Education,Sisense,Business Intelligence and Analytics,True
240,Creative Coding,Coding Education,Tableau,Business Intelligence and Analytics,True
241,Creative Coding,Coding Education,Tibco Spotfire,Business Intelligence and Analytics,True
242,DeltaDecor,Home Decor Retailer,Alteryx,Business Intelligence and Analytics,True
243,DeltaDecor,Home Decor Retailer,Domo,Business Intelligence and Analytics,True
244,DeltaDecor,Home Decor Retailer,Freshdesk,Help Desk and Customer Support,True
245,DeltaDecor,Home Decor Retailer,Freshservice,Help Desk and Customer Support,True
246,DeltaDecor,Home Decor Retailer,Google Data Studio,Business Intelligence and Analytics,True
247,DeltaDecor,Home Decor Retailer,HubSpot Service Hub,Help Desk and Customer Support,True
248,DeltaDecor,Home Decor Retailer,Intercom,Help Desk and Customer Support,True
249,DeltaDecor,Home Decor Retailer,Jira Service Management,Help Desk and Customer Support,True
250,DeltaDecor,Home Decor Retailer,Looker,Business Intelligence and Analytics,True
251,DeltaDecor,Home Decor Retailer,Power BI,Business Intelligence and Analytics,True
252,DeltaDecor,Home Decor Retailer,QlikView,Business Intelligence and Analytics,True
253,DeltaDecor,Home Decor Retailer,Salesforce Service Cloud,Help Desk and Customer Support,True
254,DeltaDecor,Home Decor Retailer,SAP Analytics Cloud,Business Intelligence and Analytics,True
255,DeltaDecor,Home Decor Retailer,ServiceNow,Help Desk and Customer Support,True
256,DeltaDecor,Home Decor Retailer,Sisense,Business Intelligence and Analytics,True
257,DeltaDecor,Home Decor Retailer,Tableau,Business Intelligence and Analytics,True
258,DeltaDecor,Home Decor Retailer,Tibco Spotfire,Business Intelligence and Analytics,True
259,DeltaDecor,Home Decor Retailer,Zendesk,Help Desk and Customer Support,True
260,DeltaDesigns,Home Decor Subscription,Alteryx,Business Intelligence and Analytics,True
261,DeltaDesigns,Home Decor Subscription,Google Data Studio,Business Intelligence and Analytics,True
262,DeltaDesigns,Home Decor Subscription,Jira Service Management,Help Desk and Customer Support,True
263,DeltaDesigns,Home Decor Subscription,Power BI,Business Intelligence and Analytics,True
264,DeltaDesigns,Home Decor Subscription,Salesforce Service Cloud,Help Desk and Customer Support,True
265,DeltaDesigns,Home Decor Subscription,Tableau,Business Intelligence and Analytics,True
266,DeltaDesigns,Home Decor Subscription,Tibco Spotfire,Business Intelligence and Analytics,True
267,DeltaDrinks,Drink Subscription,Alteryx,Business Intelligence and Analytics,True
268,DeltaDrinks,Drink Subscription,Google Data Studio,Business Intelligence and Analytics,True
269,DeltaDrinks,Drink Subscription,Jira Service Management,Help Desk and Customer Support,True
270,DeltaDrinks,Drink Subscription,Power BI,Business Intelligence and Analytics,True
271,DeltaDrinks,Drink Subscription,Salesforce Service Cloud,Help Desk and Customer Support,True
272,DeltaDrinks,Drink Subscription,Tableau,Business Intelligence and Analytics,True
273,DeltaDrinks,Drink Subscription,Tibco Spotfire,Business Intelligence and Analytics,True
274,Dynamic Drones,Drone Technology,Alteryx,Business Intelligence and Analytics,True
275,Dynamic Drones,Drone Technology,Google Data Studio,Business Intelligence and Analytics,True
276,Dynamic Drones,Drone Technology,Jira Service Management,Help Desk and Customer Support,True
277,Dynamic Drones,Drone Technology,Power BI,Business Intelligence and Analytics,True
278,Dynamic Drones,Drone Technology,QlikView,Business Intelligence and Analytics,True
279,Dynamic Drones,Drone Technology,Salesforce Service Cloud,Help Desk and Customer Support,True
280,Dynamic Drones,Drone Technology,ServiceNow,Help Desk and Customer Support,True
281,Dynamic Drones,Drone Technology,Tableau,Business Intelligence and Analytics,True
282,Dynamic Drones,Drone Technology,Tibco Spotfire,Business Intelligence and Analytics,True
283,EchoEducation,Online Learning Platform,Alteryx,Business Intelligence and Analytics,True
284,EchoEducation,Online Learning Platform,Google Data Studio,Business Intelligence and Analytics,True
285,EchoEducation,Online Learning Platform,Jira Service Management,Help Desk and Customer Support,True
286,EchoEducation,Online Learning Platform,Power BI,Business Intelligence and Analytics,True
287,EchoEducation,Online Learning Platform,QlikView,Business Intelligence and Analytics,True
288,EchoEducation,Online Learning Platform,Salesforce Service Cloud,Help Desk and Customer Support,True
289,EchoEducation,Online Learning Platform,ServiceNow,Help Desk and Customer Support,True
290,EchoEducation,Online Learning Platform,Tableau,Business Intelligence and Analytics,True
291,EchoEducation,Online Learning Platform,Tibco Spotfire,Business Intelligence and Analytics,True
292,Eco-Friendly Cleaning Solutions,Cleaning Services,Alteryx,Business Intelligence and Analytics,True
293,Eco-Friendly Cleaning Solutions,Cleaning Services,Freshdesk,Help Desk and Customer Support,True
294,Eco-Friendly Cleaning Solutions,Cleaning Services,Google Data Studio,Business Intelligence and Analytics,True
295,Eco-Friendly Cleaning Solutions,Cleaning Services,Jira Service Management,Help Desk and Customer Support,True
296,Eco-Friendly Cleaning Solutions,Cleaning Services,QlikView,Business Intelligence and Analytics,True
297,Eco-Friendly Cleaning Solutions,Cleaning Services,Salesforce Service Cloud,Help Desk and Customer Support,True
298,Eco-Friendly Cleaning Solutions,Cleaning Services,Tableau,Business Intelligence and Analytics,True
299,Eco-Friendly Cleaning Solutions,Cleaning Services,Tibco Spotfire,Business Intelligence and Analytics,True
300,EcoEase Solutions,Eco-friendly Products,Alteryx,Business Intelligence and Analytics,True
301,EcoEase Solutions,Eco-friendly Products,Google Data Studio,Business Intelligence and Analytics,True
302,EcoEase Solutions,Eco-friendly Products,Jira Service Management,Help Desk and Customer Support,True
303,EcoEase Solutions,Eco-friendly Products,Looker,Business Intelligence and Analytics,True
304,EcoEase Solutions,Eco-friendly Products,Power BI,Business Intelligence and Analytics,True
305,EcoEase Solutions,Eco-friendly Products,QlikView,Business Intelligence and Analytics,True
306,EcoEase Solutions,Eco-friendly Products,Salesforce Service Cloud,Help Desk and Customer Support,True
307,EcoEase Solutions,Eco-friendly Products,SAP Analytics Cloud,Business Intelligence and Analytics,True
308,EcoEase Solutions,Eco-friendly Products,ServiceNow,Help Desk and Customer Support,True
309,EcoEase Solutions,Eco-friendly Products,Sisense,Business Intelligence and Analytics,True
310,EcoEase Solutions,Eco-friendly Products,Tableau,Business Intelligence and Analytics,True
311,EcoEase Solutions,Eco-friendly Products,Tibco Spotfire,Business Intelligence and Analytics,True
312,Elegant Events,Event Planning,Alteryx,Business Intelligence and Analytics,True
313,Elegant Events,Event Planning,Google Data Studio,Business Intelligence and Analytics,True
314,Elegant Events,Event Planning,Jira Service Management,Help Desk and Customer Support,True
315,Elegant Events,Event Planning,QlikView,Business Intelligence and Analytics,True
316,Elegant Events,Event Planning,Salesforce Service Cloud,Help Desk and Customer Support,True
317,Elegant Events,Event Planning,Tableau,Business Intelligence and Analytics,True
318,Elegant Events,Event Planning,Tibco Spotfire,Business Intelligence and Analytics,True
319,EpsilonEco,Eco-Friendly Product Subscription,Alteryx,Business Intelligence and Analytics,True
320,EpsilonEco,Eco-Friendly Product Subscription,Google Data Studio,Business Intelligence and Analytics,True
321,EpsilonEco,Eco-Friendly Product Subscription,Jira Service Management,Help Desk and Customer Support,True
322,EpsilonEco,Eco-Friendly Product Subscription,Looker,Business Intelligence and Analytics,True
323,EpsilonEco,Eco-Friendly Product Subscription,Power BI,Business Intelligence and Analytics,True
324,EpsilonEco,Eco-Friendly Product Subscription,QlikView,Business Intelligence and Analytics,True
325,EpsilonEco,Eco-Friendly Product Subscription,Salesforce Service Cloud,Help Desk and Customer Support,True
326,EpsilonEco,Eco-Friendly Product Subscription,SAP Analytics Cloud,Business Intelligence and Analytics,True
327,EpsilonEco,Eco-Friendly Product Subscription,ServiceNow,Help Desk and Customer Support,True
328,EpsilonEco,Eco-Friendly Product Subscription,Sisense,Business Intelligence and Analytics,True
329,EpsilonEco,Eco-Friendly Product Subscription,Tableau,Business Intelligence and Analytics,True
330,EpsilonEco,Eco-Friendly Product Subscription,Tibco Spotfire,Business Intelligence and Analytics,True
331,EpsilonEducation,Online Learning Subscription,Alteryx,Business Intelligence and Analytics,True
332,EpsilonEducation,Online Learning Subscription,Google Data Studio,Business Intelligence and Analytics,True
333,EpsilonEducation,Online Learning Subscription,Jira Service Management,Help Desk and Customer Support,True
334,EpsilonEducation,Online Learning Subscription,Power BI,Business Intelligence and Analytics,True
335,EpsilonEducation,Online Learning Subscription,QlikView,Business Intelligence and Analytics,True
336,EpsilonEducation,Online Learning Subscription,Salesforce Service Cloud,Help Desk and Customer Support,True
337,EpsilonEducation,Online Learning Subscription,ServiceNow,Help Desk and Customer Support,True
338,EpsilonEducation,Online Learning Subscription,Tableau,Business Intelligence and Analytics,True
339,EpsilonEducation,Online Learning Subscription,Tibco Spotfire,Business Intelligence and Analytics,True
340,Esteemed Education,Private School,Alteryx,Business Intelligence and Analytics,True
